trecho_id,decliv_media_pct,decliv_max_pct,frac_plana,frac_ingreme,decliv_media_graus
RO-ARQ-0001,6.52,19.88,0.108,0.246,3.73
RO-ARQ-0002,6.73,14.78,0.052,0.31,3.85
RO-ARQ-0003,8.48,38.51,0.034,0.287,4.85
RO-ARQ-0004,5.0,10.28,0.051,0.154,2.86
RO-ARQ-0005,5.24,8.83,0.2,0.267,3.0
RO-ARQ-0006,3.41,18.1,0.345,0.097,1.95
RO-ARQ-0007,6.22,19.35,0.161,0.194,3.56
RO-ARQ-0008,1.21,2.48,0.854,0.0,0.7
RO-ARQ-0009,0.72,1.57,1.0,0.0,0.41
RO-ARQ-0010,7.6,15.93,0.045,0.318,4.35
RO-ARQ-0011,4.59,16.24,0.253,0.145,2.63
RO-ARQ-0012,2.65,7.62,0.416,0.0,1.52
RO-ARQ-0013,9.73,22.48,0.0,0.578,5.56
RO-ARQ-0014,13.44,29.94,0.034,0.753,7.65
RO-ARQ-0015,13.62,26.02,0.0,0.805,7.76
RO-ARQ-0016,7.63,19.02,0.02,0.416,4.36
RO-ARQ-0017,10.25,26.55,0.069,0.495,5.85
RO-ARQ-0018,14.64,38.4,0.0,0.645,8.33
RO-ARQ-0019,4.35,11.67,0.205,0.145,2.49
RO-ARQ-0020,7.99,21.9,0.108,0.392,4.57
RO-ARQ-0021,10.07,24.78,0.0,0.542,5.75
RO-ARQ-0022,3.68,4.62,0.0,0.0,2.11
RO-ARQ-0023,4.11,5.61,0.167,0.0,2.35
RO-ARQ-0024,12.96,22.32,0.066,0.754,7.39
RO-ARQ-0025,8.83,12.42,0.0,0.6,5.04
RO-ARQ-0026,8.75,23.99,0.008,0.559,5.0
RO-ARQ-0027,8.24,19.83,0.0,0.333,4.71
RO-ARQ-0028,4.13,5.71,0.0,0.0,2.37
RO-ARQ-0029,5.66,16.19,0.11,0.22,3.24
RO-ARQ-0030,5.14,8.94,0.0,0.057,2.94
RO-ARQ-0031,4.98,9.54,0.077,0.077,2.85
RO-ARQ-0032,4.38,8.58,0.1,0.167,2.51
RO-ARQ-0033,5.44,13.18,0.03,0.119,3.11
RO-ARQ-0034,22.79,46.26,0.029,0.735,12.84
RO-ARQ-0035,,,,,
RO-ARQ-0036,,,,,
RO-ARQ-0037,,,,,
RO-ARQ-0038,,,,,
RO-ARQ-0039,,,,,
RO-ARQ-0040,,,,,
RO-ARQ-0041,,,,,
RO-ARQ-0042,,,,,
RO-ARQ-0043,6.06,14.51,0.036,0.25,3.47
RO-ARQ-0044,7.41,29.45,0.0,0.25,4.24
RO-ARQ-0045,11.15,35.63,0.0,0.392,6.36
RO-ARQ-0046,11.05,24.04,0.0,0.6,6.31
