trecho_id,data_obs,lat_centroide,lon_centroide,mes,chuva_72h,chuva_7d,chuva_30d
RO-ARQ-0001,2023-02-15,-9.9435,-63.059,2,18.8,35.9,240.2
RO-ARQ-0001,2023-03-08,-9.9435,-63.059,3,16.9,58.5,277.2
RO-ARQ-0001,2023-07-20,-9.9435,-63.059,7,0.0,21.4,21.6
RO-ARQ-0001,2023-11-15,-9.9435,-63.059,11,7.4,19.1,65.4
RO-ARQ-0001,2024-01-20,-9.9435,-63.059,1,25.8,48.8,259.2
RO-ARQ-0001,2024-02-25,-9.9435,-63.059,2,51.1,98.6,283.6
RO-ARQ-0001,2024-07-15,-9.9435,-63.059,7,0.0,0.1,1.1
RO-ARQ-0001,2024-10-20,-9.9435,-63.059,10,14.4,42.9,85.1
RO-ARQ-0001,2025-02-10,-9.9435,-63.059,2,40.2,98.6,345.7
RO-ARQ-0001,2025-03-15,-9.9435,-63.059,3,45.5,68.9,297.6
RO-ARQ-0001,2025-08-15,-9.9435,-63.059,8,0.0,0.0,5.5
RO-ARQ-0002,2023-02-15,-9.9231,-63.0595,2,18.8,35.9,240.2
RO-ARQ-0002,2023-03-08,-9.9231,-63.0595,3,16.9,58.5,277.2
RO-ARQ-0002,2023-07-20,-9.9231,-63.0595,7,0.0,21.4,21.6
RO-ARQ-0002,2023-11-15,-9.9231,-63.0595,11,7.4,19.1,65.4
RO-ARQ-0002,2024-01-20,-9.9231,-63.0595,1,25.8,48.8,259.2
RO-ARQ-0002,2024-02-25,-9.9231,-63.0595,2,51.1,98.6,283.6
RO-ARQ-0002,2024-07-15,-9.9231,-63.0595,7,0.0,0.1,1.1
RO-ARQ-0002,2024-10-20,-9.9231,-63.0595,10,14.4,42.9,85.1
RO-ARQ-0002,2025-02-10,-9.9231,-63.0595,2,40.2,98.6,345.7
RO-ARQ-0002,2025-03-15,-9.9231,-63.0595,3,45.5,68.9,297.6
RO-ARQ-0002,2025-08-15,-9.9231,-63.0595,8,0.0,0.0,5.5
RO-ARQ-0003,2023-02-15,-9.9335,-63.0517,2,18.8,35.9,240.2
RO-ARQ-0003,2023-03-08,-9.9335,-63.0517,3,16.9,58.5,277.2
RO-ARQ-0003,2023-07-20,-9.9335,-63.0517,7,0.0,21.4,21.6
RO-ARQ-0003,2023-11-15,-9.9335,-63.0517,11,7.4,19.1,65.4
RO-ARQ-0003,2024-01-20,-9.9335,-63.0517,1,25.8,48.8,259.2
RO-ARQ-0003,2024-02-25,-9.9335,-63.0517,2,51.1,98.6,283.6
RO-ARQ-0003,2024-07-15,-9.9335,-63.0517,7,0.0,0.1,1.1
RO-ARQ-0003,2024-10-20,-9.9335,-63.0517,10,14.4,42.9,85.1
RO-ARQ-0003,2025-02-10,-9.9335,-63.0517,2,40.2,98.6,345.7
RO-ARQ-0003,2025-03-15,-9.9335,-63.0517,3,45.5,68.9,297.6
RO-ARQ-0003,2025-08-15,-9.9335,-63.0517,8,0.0,0.0,5.5
RO-ARQ-0004,2023-02-15,-9.9234,-63.0562,2,18.8,35.9,240.2
RO-ARQ-0004,2023-03-08,-9.9234,-63.0562,3,16.9,58.5,277.2
RO-ARQ-0004,2023-07-20,-9.9234,-63.0562,7,0.0,21.4,21.6
RO-ARQ-0004,2023-11-15,-9.9234,-63.0562,11,7.4,19.1,65.4
RO-ARQ-0004,2024-01-20,-9.9234,-63.0562,1,25.8,48.8,259.2
RO-ARQ-0004,2024-02-25,-9.9234,-63.0562,2,51.1,98.6,283.6
RO-ARQ-0004,2024-07-15,-9.9234,-63.0562,7,0.0,0.1,1.1
RO-ARQ-0004,2024-10-20,-9.9234,-63.0562,10,14.4,42.9,85.1
RO-ARQ-0004,2025-02-10,-9.9234,-63.0562,2,40.2,98.6,345.7
RO-ARQ-0004,2025-03-15,-9.9234,-63.0562,3,45.5,68.9,297.6
RO-ARQ-0004,2025-08-15,-9.9234,-63.0562,8,0.0,0.0,5.5
RO-ARQ-0005,2023-02-15,-9.8742,-63.0567,2,17.2,30.2,222.2
RO-ARQ-0005,2023-03-08,-9.8742,-63.0567,3,20.3,54.4,249.4
RO-ARQ-0005,2023-07-20,-9.8742,-63.0567,7,0.0,0.4,0.6
RO-ARQ-0005,2023-11-15,-9.8742,-63.0567,11,4.7,18.1,65.4
RO-ARQ-0005,2024-01-20,-9.8742,-63.0567,1,15.9,40.9,247.5
RO-ARQ-0005,2024-02-25,-9.8742,-63.0567,2,51.4,85.7,282.1
